protein_id,KO,pathway_count,pathway_names,functional_categories,functional_priority,functional_score,pathway_score,preliminary_score,rank
AB_gene_3291,K00382,17,"2-Oxocarboxylic acid metabolism; Biosynthesis of cofactors; Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Glycine, serine and threonine metabolism; Glycolysis / Gluconeogenesis; Glyoxylate and dicarboxylate metabolism; Lipoic acid metabolism; Lysine degradation; Metabolic pathways; Microbial metabolism in diverse environments; One carbon pool by folate; Propanoate metabolism; Pyruvate metabolism; Tryptophan metabolism; Valine, leucine and isoleucine degradation",Cofactor / vitamin metabolism; Energy metabolism; Other,High,4,10,14,1
AB_gene_1673,K03781,16,Amyotrophic lateral sclerosis; Biosynthesis of secondary metabolites; Carbon metabolism; Chemical carcinogenesis - reactive oxygen species; FoxO signaling pathway; Glyoxylate and dicarboxylate metabolism; Longevity regulating pathway; Longevity regulating pathway - multiple species; Longevity regulating pathway - worm; MAPK signaling pathway - plant; MAPK signaling pathway - yeast; Metabolic pathways; Pathways of neurodegeneration - multiple diseases; Peroxisome; Peroxisome - yeast; Tryptophan metabolism,Energy metabolism; Other,High,4,10,14,2
AB_gene_2905,K00812,14,"2-Oxocarboxylic acid metabolism; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Arginine biosynthesis; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Cysteine and methionine metabolism; Isoquinoline alkaloid biosynthesis; Metabolic pathways; Novobiocin biosynthesis; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Tropane, piperidine and pyridine alkaloid biosynthesis; Tyrosine metabolism",Amino acid biosynthesis; Other,High,4,10,14,3
AB_gene_2766,K01915,13,"Alanine, aspartate and glutamate metabolism; Arginine biosynthesis; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; GABAergic synapse; Glutamatergic synapse; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Necroptosis; Nitrogen metabolism; Plant hormone signal transduction; Two-component system",Amino acid biosynthesis; Other,High,4,10,14,4
AB_gene_2876,K00031,12,2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Central carbon metabolism in cancer; Citrate cycle (TCA cycle); Glutathione metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Other carbon fixation pathways; Peroxisome; Peroxisome - yeast,Amino acid biosynthesis; Energy metabolism; Other,High,4,10,14,5
AB_gene_2898,K00134,12,Alzheimer disease; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon fixation by Calvin cycle; Carbon metabolism; Diabetic cardiomyopathy; Glycolysis / Gluconeogenesis; HIF-1 signaling pathway; Metabolic pathways; Microbial metabolism in diverse environments; Pathogenic Escherichia coli infection; Salmonella infection,Amino acid biosynthesis; Energy metabolism; Other,High,4,10,14,6
AB_gene_870,K15778,12,Amino sugar and nucleotide sugar metabolism; Biosynthesis of nucleotide sugars; Biosynthesis of secondary metabolites; Fructose and mannose metabolism; Galactose metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways; Microbial metabolism in diverse environments; Pentose phosphate pathway; Purine metabolism; Starch and sucrose metabolism; Streptomycin biosynthesis,Nucleotide metabolism; Other,High,4,10,14,7
AB_gene_151,K00963,10,Amino sugar and nucleotide sugar metabolism; Biosynthesis of cofactors; Biosynthesis of nucleotide sugars; Biosynthesis of secondary metabolites; Biosynthesis of various nucleotide sugars; Galactose metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Pentose and glucuronate interconversions; Starch and sucrose metabolism,Cofactor / vitamin metabolism; Other,High,4,10,14,8
AB_gene_1851,K01624,10,Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon fixation by Calvin cycle; Carbon metabolism; Fructose and mannose metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways; Methane metabolism; Microbial metabolism in diverse environments; Pentose phosphate pathway,Amino acid biosynthesis; Energy metabolism; Other,High,4,10,14,9
AB_gene_2455,K01682,10,2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of secondary metabolites; Carbon metabolism; Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Other carbon fixation pathways; Propanoate metabolism,Amino acid biosynthesis; Energy metabolism; Other,High,4,10,14,10
